"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-01","49","58","45"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-02","48","56","44"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-03","45","52","41"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-04","48","59","42"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-05","51","56","46"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-06","45","52","39"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-07","42","50","36"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-08","47","56","41"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-09","45","51","41"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-10","44","48","40"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-11","42","52","38"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-12","43","49","39"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-13","46","50","43"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-14","48","54","43"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-15","47","54","44"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-16","48","54","43"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-17","50","55","47"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-18","49","52","45"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-19","48","52","46"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-20","50","52","47"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-21","51","54","48"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-22","51","55","50"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-23","50","54","48"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-24","49","52","47"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2024-01-25","50","57","46"
